Lp,Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Poprawna odp,Media,Zakres struktury,Liczba punktów,Kategorie,Nazwa media tłumaczenie migowe (PJM) treść pyt,Nazwa media tłumaczenie migowe (PJM) treść odp A,Nazwa media tłumaczenie migowe (PJM) treść odp B,Nazwa media tłumaczenie migowe (PJM) treść odp C,Pytanie [EN],Odpowiedź A [EN],Odpowiedź B [EN],Odpowiedź C [EN],Pytanie [D],Odpowiedź A [D],Odpowiedź B [D],Odpowiedź C [D],Pytanie [UA],Odpowiedź A [UA],Odpowiedź B [UA],Odpowiedź C [UA]
3406,13531,"Czy na drogach położonych w strefie oznaczonej widocznym znakiem,  wolno Ci przewozić hulajnogą elektryczną dziecko w wieku do 10 lat ?",,,,N,GNH02.jpg.jpg,PODSTAWOWY,3,"A,B,AM,A1,A2,B1",,,,,"On roads located in an area marked with this visible sign, are you permitted to transport a child under the age of 10 on an electric scooter?",,,,"Darf man ein Kind bis 10 Jahre auf einem Elektroroller auf Straßen transportieren, die sich in einer mit einem sichtbaren Schild gekennzeichneten Zone befinden?",,,,"Чи дозволено Вам на дорогах, розташованих у зоні, позначеній знаком, який Ви бачите, перевозити на електричному самокаті дитину віком до 10 років?",,,
3407,13535,"Czy podczas kierowania hulajnogą elektryczną, wolno Ci korzystać z telefonu wymagającego trzymania słuchawki lub mikrofonu w ręku?",,,,N,GNPH06.jpg,PODSTAWOWY,2,"A,B,AM,A1,A2,B1",,,,,"When riding an electric scooter, are you permitted to use a telephone that requires you to hold the handset or microphone in your hand?",,,,"Darf man während der Fahrt mit einem Elektroroller ein Telefon benutzen, bei dem man den Hörer oder das Mikrofon festhalten muss?

",,,,"Чи дозволено Вам під час керування електричним самокатом користуватися телефоном, який вимагає тримання слухавки або мікрофона в руці?",,,
3408,13540,Czy kierujący pojazdem podczas omijania pieszego musi w razie potrzeby zmniejszyć prędkość?,,,,T,,PODSTAWOWY,3,"A,B,C,D,T,AM,PT,A1,A2,B1,C1,D1",,,,,"When passing a pedestrian, must the driver reduce speed if necessary?",,,,Muss ein Autofahrer beim Ausweichen vor einem Fußgänger gegebenenfalls die Geschwindigkeit reduzieren?,,,,"Чи водій транспортного засобу, під час об’їзду пішохода зобов’язаний, за потреби, зменшити швидкість?",,,
3409,13541,Czy kierujący pojazdem zbliżając się do przejścia sugerowanego jest o tym informowany odpowiednimi znakami drogowymi?,,,,N,Przejście sugerowane.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,Is the driver approaching the courtesy crossing informed of this by appropriate road signs?,,,,"Wird der Fahrer eines Fahrzeugs, das sich einer empfohlenen Fußgängerüberweg nähert, durch entsprechende Verkehrsschilder darauf hingewiesen?",,,,"Чи водій транспортного засобу, наближаючись до «сугерованого» переходу (місця, яке використовується пішоходами для переходу проїзної частини, але яке не є пішохідним переходом), інформується про це відповідними дорожніми знаками?",,,
3410,13543,Czy pieszy przechodzący przez jezdnię wykorzystując przejście sugerowane ma pierwszeństwo przed nadjeżdżającym pojazdem?,,,,N,Przejście sugerowane.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,Does a pedestrian crossing the road at a courtesy crossing have the right of way over an approaching vehicle?,,,,"Hat ein Fußgänger, der die Straße über einen empfohlenen Fußgängerüberweg überquert, Vorrang vor einem entgegenkommenden Fahrzeug?

",,,,"Чи пішохід, який переходить проїзну частину, використовуючи для цього «сугерований» перехід, має перевагу перед транспортним засобом, що наближається?",,,
3411,13546,"Czy  kierujący pojazdem podczas jazdy po placu, na którym ze względu na brak wyodrębnienia jezdni i dróg dla pieszych, ruch pieszych i pojazdów odbywa się po tej samej powierzchni, ma pierwszeństwo przed pieszymi poruszającymi się po tym placu?",,,,N,30066.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"In an area where pedestrians and vehicles share the same space, with no designated lanes or footpaths, does a driver have the right of way over pedestrians who are moving around the area?",,,,,,,,"Чи водій транспортного засобу під час руху по площі, на якій через відсутність виділеної проїзної частини і тротуарів  рух пішоходів і транспортних засобів відбувається по одній поверхні, має перевагу перед пішоходами, які рухаються по цій площі?",,,
3412,13547,"Czy kierujący pojazdem podczas jazdy po placu, na którym ze względu na brak wyodrębnienia jezdni i dróg dla pieszych, ruch pieszych i pojazdów odbywa się po tej samej powierzchni, ma obowiązek ustąpić pierwszeństwa pieszym poruszającym się po placu?",,,,T,30066.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"When driving in an area without designated lanes for vehicles and pedestrians, where they share the same space, is the driver obliged to yield to pedestrians who are moving around the area?",,,,"Ist ein Fahrzeugführer verpflichtet, Fußgängern, die sich auf dem Platz bewegen, Vorfahrt zu gewähren, wenn er einen Platz befährt, auf dem Fußgänger- und Fahrzeugverkehr mangels getrennter Straßen- und Fußgängerwege auf derselben Fläche stattfinden?",,,,"Чи водій транспортного засобу під час руху по площі, на якій через відсутність виділеної проїзної частини і тротуарів  рух пішоходів і транспортних засобів відбувається по одній поверхні, зобов’язаний надати перевагу в русі  пішоходам, які рухаються по цій  площі?",,,
3413,13548,Czy kierujący pojazdem za tym znakiem powinien spodziewać się pieszych idących wzdłuż jezdni ?,,,,T,1A5120.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,Should a driver expect pedestrians walking along the road beyond this sign?,,,,"Muss ein Fahrer hinter diesem Schild mit Fußgängern rechnen, die die Straße entlanggehen?",,,,"Чи водій транспортного засобу за цим знаком повинен сподіватися появи пішоходів, що йдуть вздовж проїзної частини?",,,
3414,13549,Czy kierujący pojazdem poruszający się w strefie oznaczonej tym znakiem widząc pieszego przechodzącego przez jezdnię poza przejściem dla pieszych ma obowiązek ustąpienia mu pierwszeństwa?,,,,T,1A5120.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,Is a driver in an area marked with this sign required to yield to a pedestrian crossing the road outside of a designated crossing?,,,,"Ist der Fahrer eines Fahrzeugs, das in der mit diesem Schild gekennzeichneten Zone fährt, verpflichtet, einem Fußgänger, der die Straße außerhalb eines Fußgängerüberwegs überquert, Vorfahrt zu gewähren?

",,,,"Чи водій транспортного засобу, який рухається в зоні, позначеній цим знаком, бачачи пішохода, який переходить проїзну частину поза пішохідним переходом, має обов’язок надати йому перевагу у русі?",,,
3415,13551,"Czy kierujący pojazdem silnikowym w czasie wyprzedzania pieszego, podczas mgły poza obszarem zabudowanym, powinien dawać krótkotrwałe sygnały dźwiękowe?",,,,T,,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,Should a motor vehicle driver give short audible signals when overtaking a pedestrian in fog outside a built-up area?,,,,"Sollte ein Kraftfahrzeugführer beim Überholen eines Fußgängers im Nebel außerhalb geschlossener Ortschaften kurze akustische Signale geben?

",,,,"Чи водій моторного транспортного засобу під час обгону пішохода в тумані поза населеним пунктом, повинен подавати короткочасні звукові сигнали?",,,
3416,13552,"Czy kierujący pojazdem silnikowym w czasie omijania pieszego, podczas mgły poza obszarem zabudowanym, powinien dawać krótkotrwałe sygnały dźwiękowe?",,,,T,,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,Should a motor vehicle driver give short audible signals when passing a pedestrian in fog outside a built-up area?,,,,"Sollte ein Kraftfahrzeugführer bei Nebel außerhalb geschlossener Ortschaften kurze akustische Signale geben, wenn er einem Fußgänger ausweicht?",,,,"Чи водій моторного транспортного засобу під час об’їзду (обминання) пішохода в тумані поза населеним пунктом, повинен подавати короткочасні звукові сигнали?",,,
3417,13553,"Czy kierujący pojazdem przejeżdżając obok przystanku tramwajowego i autobusowego komunikacji miejskiej, nie wyposażonego w wyspę dla pasażerów i wymagającego wyjścia pasażerów na jezdnię, ma obowiązek zatrzymać pojazd w takim miejscu, aby zapewnić pieszemu swobodne dojście do stojącego na tym przystanku autobusu?",,,,T,,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"When driving past a tram or bus stop without a passenger island that requires passengers to step onto the road, must the driver stop the vehicle so pedestrians can freely access the bus?",,,,"Ist ein Fahrzeugführer beim Passieren einer Straßenbahn- oder Bushaltestelle des öffentlichen Nahverkehrs, die nicht mit einer Fahrgastinsel ausgestattet ist und bei der die Fahrgäste auf die Straße aussteigen müssen, verpflichtet, das Fahrzeug an einer Stelle anzuhalten, an der Fußgänger ungehinderten Zugang zu dem an dieser Haltestelle stehenden Bus haben?

",,,,"Чи водій транспортного засобу, проїжджаючи поруч із трамвайною або автобусною зупинкою міського транспорту, яка не обладнана острівцем для пасажирів і на якій пасажири змушені виходити на проїзну частину, зобов’язаний зупинити свій транспортний засіб так, щоб пішохід мав вільний доступ до автобуса, що стоїть на зупинці?",,,
3418,13554,"Zamierzasz jechać na wprost przez skrzyżowanie. Czy masz na tym skrzyżowaniu obowiązek ustąpienia pierwszeństwa pojazdowi, który nadjeżdżałby z prawej strony ?",,,,T,Znak D1+T6.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,You intend to drive straight ahead through the intersection. Are you required to give way to a vehicle approaching from the right at this intersection?,,,,"Sie möchten geradeaus über eine Kreuzung fahren. Müssen Sie an dieser Kreuzung jedem von rechts kommenden Fahrzeug Vorfahrt gewähren?

",,,,"Ви збираєтеся їхати прямо через перехрестя. Чи зобов’язані Ви на цьому перехресті надати перевагу в русі транспортному засобу, що наближається з правого боку?",,,
3419,13555,"Zamierzasz jechać na wprost przez to skrzyżowanie. Czy masz pierwszeństwo przed pojazdem, który może nadjechać z prawej strony ?",,,,N,Znak D1+T6.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,You intend to go straight ahead through this junction. Do you have the right of way over a vehicle that may approach from the right?,,,,"Sie möchten diese Kreuzung geradeaus überqueren. Haben Sie Vorfahrt vor einem eventuell von rechts kommenden Fahrzeug?

",,,,"Ви збираєтеся їхати прямо через це перехрестя. Чи маєте Ви перевагу в русі перед транспортним засобом, який може над’їхати  з правого боку?",,,
